None,DressBerry Orange & Yellow Beaded Necklace,http://www.myntra.com/necklace/dressberry/dressberry-orange-yellow-beaded-necklace/151763/buy,Rs. 345,women-jewellery,Jewellery,Chumbak,http://myntra.myntassets.com/images/style/properties/DressBerry-Orange-&-Yellow-Beaded-Necklace_eac1d23030b6169bcd40cae4897ea807_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/necklace/dressberry/dressberry-orange-yellow-beaded-necklace/151763/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Make a style statement with this beaded necklace from DressBerry. Wear it to add a vibrant touch to your look and keep the rest of your accessories for maximum effect.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned, yellow and orange necklace with beaded details<br/>Lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal and beads<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of necklace: 57 cm</p></li></ul>,25:02:2014,None
None,DressBerry Women Red & White Owl Ring,http://www.myntra.com/ring/dressberry/dressberry-women-red-white-owl-ring/107818/buy,Rs. 400,women-jewellery,Jewellery,Chumbak,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Red-&-White-Owl-Ring_32ce31e91c693638933cb97a4ffaaf10_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/ring/dressberry/dressberry-women-red-white-owl-ring/107818/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>The easiest way to make a distinctive style statement is by accessorising your look with something prominent. Inspired by nature, this versatile owl ring from DressBerry would be perfect for that.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red, white and gold coloured ring<br/>Owl shaped design with red and white detailing and black and white stones embedded at the eyes</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Diameter: 2 cm</p></li></ul>,25:02:2014,None
None,DressBerry Gold Toned Necklace,http://www.myntra.com/necklace/dressberry/dressberry-gold-toned-necklace/107758/buy,Rs. 700,women-jewellery,Jewellery,Chumbak,http://myntra.myntassets.com/images/style/properties/DressBerry-Gold-Toned-Necklace_713139a6e6baa7f5ee0001f2be9a9f88_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/necklace/dressberry/dressberry-gold-toned-necklace/107758/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This necklace from DressBerry helps you transform simple outfits into evening wear party outfits. The sparkling crystals add glamour and simple design ensures class.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned necklace<br/>Gold toned chain with triangular details, triangular details have crystal danglers and two rows of crystals on top of every alternate triangle<br/>Adjustable lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal alloy, Crystals<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 50 cm</p></li></ul>,25:02:2014,None
None,DressBerry Gold Toned stone Stud Earrings,http://www.myntra.com/earrings/dressberry/dressberry-gold-toned-stone-stud-earrings/164003/buy,Rs. 325,women-jewellery,Jewellery,Chumbak,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Earrings_0e849d03242bbd773b6630b64070ad70_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/earrings/dressberry/dressberry-gold-toned-stone-stud-earrings/164003/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pretty pair of earrings from DressBerry will brighten up any  ensemble with its colourful stones and charming look. Wear it with a  floral printed tunic and leggings for a lunch date.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned flower shaped earrings with central faceted pink stone detailing<br/>Post back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Alloy and acrylic <br/>Wipe with a dry, clean cloth to remove dust</p></li></ul>,25:02:2014,None
None,DressBerry Orange & White Beaded Necklace,http://www.myntra.com/necklace/dressberry/dressberry-orange-white-beaded-necklace/151765/buy,Rs. 345,women-jewellery,Jewellery,Chumbak,http://myntra.myntassets.com/images/style/properties/DressBerry-Orange-&-White-Beaded-Necklace_f89834f5f1a6957d2ecf8054e849bfda_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/necklace/dressberry/dressberry-orange-white-beaded-necklace/151765/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Make a style statement with this beaded necklace from DressBerry. Wear it to add a vibrant touch to your look and keep the rest of your accessories for maximum effect.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned, white and orange necklace with beaded details<br/>Lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal and beads<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of necklace: 59 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery White & Gold Toned Beaded Jewellery Set,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-white-gold-toned-beaded-jeweller/237247/buy,Rs. 895,women-jewellery,Jewellery,Chumbak,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-White-&-Gold-Toned-Beaded-Jewellery-Set_4f77d93c01a9ffb97e1e402d205d0473_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-white-gold-toned-beaded-jeweller/237247/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Adorn yourself with this elegant jewellery set from Sia Art Jewellery. Intricately designed with stunning detailing this set is a must-have. We recommend that you team this with your ethnic attire for a chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>This jewellery set consists of a necklace and a pair of earrings<br/>White, pearl like beaded necklace, intricately designed with gold toned floral detail with stone embellishments, has a gold toned floral centre piece intricately designed with stone embellishments and dangling beads, secured with a drawstring closure<br/>Matching drop earrings, secured with a post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Pewter metal with imitation stones, beads<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Maximum length of necklace: 103 cm<br/>Length of centrepiece: 6 cm<br/>Length of earring: 7 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Gold Toned & White Jewellery Set,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-gold-toned-white-jewellery-set/237243/buy,Rs. 1,150,women-jewellery,Jewellery,Chumbak,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Gold-Toned-&-White-Jewellery-Set_4d3ec7b82e06474e2d39a6394db3dd3c_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-gold-toned-white-jewellery-set/237243/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Adorn yourself with this elegant jewellery set from Sia Art Jewellery. Intricately designed with stunning detailing this set is a must-have. We recommend that you team this with your ethnic attire for a chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>This jewellery set consists of a necklace and a pair of earrings<br/>Gold toned and white necklace with blue and pink accents, has stone studded detailing, secured with an adjustable lobster clasp<br/>Matching drop earrings, secured with a post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Pewter metal with imitation stones<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of necklace: 57 cm<br/>Length of earrings: 7 cm</p></li></ul>,25:02:2014,None
None,DressBerry Pink & Gold Toned Triangular Danglers,http://www.myntra.com/earrings/dressberry/dressberry-pink-gold-toned-triangular-danglers/151700/buy,Rs. 250,women-jewellery,Jewellery,Chumbak,http://myntra.myntassets.com/images/style/properties/DressBerry-Pink-&-Gold-Toned-Triangular-Danglers_0b5f303ada7672422733c8d073f4ae94_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/earrings/dressberry/dressberry-pink-gold-toned-triangular-danglers/151700/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This beautiful pair of dangler earrings from DressBerry will add an instant glamour to your look. Wear it for an evening occasion and keep the rest of your accessories minimal for maximum effect.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned drop earrings with pink and purple beads, triangular drops with scalloped chain details<br/>Fish hook closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal and beads<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 9 cm</p></li></ul>,25:02:2014,None
None,Anouk Gold Toned & Green Drop Earrings,http://www.myntra.com/earrings/anouk/anouk-gold-toned-green-drop-earrings/248597/buy,Rs. 495,women-jewellery,Jewellery,Chumbak,http://myntra.myntassets.com/images/style/properties/Anouk-Gold-Toned-&-Green-Drop-Earrings_b1decac57e9a7b2dbe0669eee73d598e_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/earrings/anouk/anouk-gold-toned-green-drop-earrings/248597/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Make some space in your jewellery box for these exquisite and elegant earrings from Anouk. We love the intricate design and suggest you team them with your ethnic wear for a stunning look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned, circular drop earrings, has oval base with a green bead at the centre that is surrounded by stones<br/>Circular dangler with intricate design, cut-out and stone studded detailing, has a red bead at the centre and a green, tear drop shaped, beaded dangler below<br/>Secured with post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Alloy, acrylic, glass<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 10 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Gold Toned & Maroon Jewellery Set,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-gold-toned-maroon-jewellery-set/237244/buy,Rs. 895,women-jewellery,Jewellery,Chumbak,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Gold-Toned-&-Maroon-Jewellery-Set_2fbf944149c3604acd5672150c9468f9_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-gold-toned-maroon-jewellery-set/237244/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Adorn yourself with this elegant jewellery set from Sia Art Jewellery. Intricately designed with stunning detailing this set is a must-have. We recommend that you team this with your ethnic attire for a chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>This jewellery set consists of a necklace and a pair of earrings<br/>Gold toned and maroon necklace with red and white accents, has floral detail with stone embellishments, has a gold toned circular centre piece with stone embellishments and a tear drop shaped dangler with beads, secured with a drawstring closure<br/>Matching drop earrings, secured with a post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Pewter metal with imitation stones<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Maximum length of necklace: 98 cm<br/>Length of centrepiece: 10 cm<br/>Length of earring: 9 cm</p></li></ul>,25:02:2014,None
None,Sia Art Jewellery Gold Toned Jewellery Set,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-gold-toned-jewellery-set/237248/buy,Rs. 795,women-jewellery,Jewellery,Chumbak,http://myntra.myntassets.com/images/style/properties/Sia-Art-Jewellery-Gold-Toned-Jewellery-Set_78fc0ef59327c859845cd17dd69b7e0b_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/jewellery-set/sia-art-jewellery/sia-art-jewellery-gold-toned-jewellery-set/237248/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Adorn yourself with this elegant jewellery set from Sia Art Jewellery. Intricately designed with stunning detailing this set is a must-have. We recommend that you team this with your ethnic attire for a chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p style="text-align: left;">This jewellery set consists of a necklace and a pair of earrings<br/>Gold toned necklace with multi-coloured accents, has stone studded detail, has tear drop shaped danglers on one side with a stone studded at the centre and embellished with pink and blue studded detail, a tear drop shaped centre piece with a stone studded at the centre and pink stone embellishments around it, secured with a drawstring closure<br/>Matching drop earrings, secured with a post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Pewter metal with imitation stones<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Maximum length of necklace: 83 cm<br/>Length of centrepiece: 3.5 cm<br/>Length of earring: 5 cm</p></li></ul>,25:02:2014,None
