None,Relax Women Green Sandals,http://www.myntra.com/Heels/Relax/Relax-Women-Green-Sandals/172020/buy,Rs. 999,women-footwear-new-arrivals,Footwear,Relax,http://myntra.myntassets.com/images/style/properties/Relax-Women-Green-Sandals_4a337a43fbd9d931fc54d5e5e569d51e_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/Relax/Relax-Women-Green-Sandals/172020/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '5.5', '6.5', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair of sandals from Relax is ideal for everyday wear and is crafted with the latest design. We suggest you wear it with a short dress to lend an interesting look to your outfit while heading out for lunch.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green, open toed, sandals with slip-on styling<br/>Synthetic upper with cut-out and stitched detail<br/>Comfortable and cushioned footbed with branding at the heel<br/>Tough and textured rubber outsole</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic and rubber<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Relax Women Neon Green Sandals,http://www.myntra.com/Flats/Relax/Relax-Women-Neon-Green-Sandals/171974/buy,Rs. 499,women-footwear-new-arrivals,Footwear,Relax,http://myntra.myntassets.com/images/style/properties/Relax-Women-Neon-Green-Sandals_99c31579c3ec54976ac60ab2bb6a4b86_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Relax/Relax-Women-Neon-Green-Sandals/171974/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '5.5', '6.5', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Give your look an instant style boost with this chic pair of sandals from Relax. Easy to slip on and off, it will soon become your favourite. Team it with a short skirt and a trendy tee.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, neon green sandals<br/>Multiple straps at the forefoot and an ankle loop secured with a buckle closure, connected by a vertical tab<br/>Soft, padded footbed with branding at the heel<br/>Durable and textured rubber outsole with a slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Relax Women Blue Sandals,http://www.myntra.com/Flats/Relax/Relax-Women-Blue-Sandals/171969/buy,Rs. 499,women-footwear-new-arrivals,Footwear,Relax,http://myntra.myntassets.com/images/style/properties/Relax-Women-Blue-Sandals_4bcee41bea7aa940c9e2b8284ff30410_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Relax/Relax-Women-Blue-Sandals/171969/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '5.5', '6.5', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Give your look an instant style boost with this chic pair of sandals from Relax. Easy to slip on and off, it will soon become your favourite. Team it with a short skirt and a trendy tee.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, blue sandals with slip-on styling<br/>Glossy thong style upper<br/>Soft, padded footbed with branding at the heel<br/>Durable and textured rubber outsole with a slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Relax Women Neon Green Sandals,http://www.myntra.com/Flats/Relax/Relax-Women-Neon-Green-Sandals/171968/buy,Rs. 499,women-footwear-new-arrivals,Footwear,Relax,http://myntra.myntassets.com/images/style/properties/Relax-Women-Neon-Green-Sandals_d007c33f93c4266a446423d06f316a58_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Relax/Relax-Women-Neon-Green-Sandals/171968/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '5.5', '6.5', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Give your look an instant style boost with this chic pair of sandals from Relax. Easy to slip on and off, it will soon become your favourite. Team it with a short skirt and a trendy tee.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, neon green sandals with slip-on styling<br/>Thong style upper with metallic detail and a forefoot strap<br/>Soft, padded footbed with branding at the heel<br/>Durable and textured rubber outsole with a slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Relax Women Blue & Gold Toned Sandals,http://www.myntra.com/Flats/Relax/Relax-Women-Blue-&-Gold-Toned-Sandals/171981/buy,Rs. 499,women-footwear-new-arrivals,Footwear,Relax,http://myntra.myntassets.com/images/style/properties/Relax-Women-Blue-&-Gold-Toned-Sandals_2ba758ad7f7c3af7ec0359a337c2dafc_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Relax/Relax-Women-Blue-&-Gold-Toned-Sandals/171981/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '5.5', '6.5', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A perfect way to rest your feet on those casual days is by slipping into these ultra cool and comfortable sandals from Relax. With a cushioned footbed and a sleek design, this pair makes for a great casual wear.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, blue and gold toned sandals with slip-on styling<br/>Synthetic upper, has a toe separator, a broad vertical strap connected to the midfoot strap<br/>Soft and padded footbed with branding at the heel<br/>Tough and textured outsole</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Relax Women Blue Sandals,http://www.myntra.com/Flats/Relax/Relax-Women-Blue-Sandals/171972/buy,Rs. 499,women-footwear-new-arrivals,Footwear,Relax,http://myntra.myntassets.com/images/style/properties/Relax-Women-Blue-Sandals_dddb82d3288a0eb93ec585f54c04b733_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Relax/Relax-Women-Blue-Sandals/171972/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '5.5', '6.5', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Give your look an instant style boost with this chic pair of sandals from Relax. Easy to slip on and off, it will soon become your favourite. Team it with a short skirt and a trendy tee.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, blue sandals with a buckle closure<br/><span dir="ltr" id=":1av">Multiple straps at the forefoot and an ankle loop secured with a buckle closure, connected by a vertical tab</span><br/>Soft, padded footbed with branding at the heel<br/>Durable and textured rubber outsole with a slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Relax Women Red Ballerinas,http://www.myntra.com/Flats/Relax/Relax-Women-Red-Ballerinas/172016/buy,Rs. 599,women-footwear-new-arrivals,Footwear,Relax,http://myntra.myntassets.com/images/style/properties/Relax-Women-Red-Ballerinas_9f7998e2fbc299ed0f3d94f70e226e9d_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Relax/Relax-Women-Red-Ballerinas/172016/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '5.5', '6.5', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>When a pair like this comes along, you know that it's the time to break all non-shopping promises. Gorgeous and feminine, this pair from Relax is comfortable and trendy. We recommend that you team it with a flowy short skirt, a simple top and a small sling bag for a look that is chic and classy.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pointy toed,  red ballerinas with slip-on and low top styling<br/>Synthetic upper<br/>Soft, padded and printed footbed with branding at the heel<br/>Textured rubber outsole with floral patterns</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic and rubber<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Relax Women Neon Green Sandals,http://www.myntra.com/Flats/Relax/Relax-Women-Neon-Green-Sandals/171971/buy,Rs. 499,women-footwear-new-arrivals,Footwear,Relax,http://myntra.myntassets.com/images/style/properties/Relax-Women-Neon-Green-Sandals_8b0b48a65949d691671cd399844698b3_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Relax/Relax-Women-Neon-Green-Sandals/171971/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '5.5', '6.5', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Give your look an instant style boost with this chic pair of sandals from Relax. Easy to slip on and off, it will soon become your favourite. Team it with a short skirt and a trendy tee.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, neon green sandals with slip-on styling<br/>Glossy thong style upper<br/>Soft, padded footbed with branding at the heel<br/>Durable and textured rubber outsole with a slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Relax Women Brown Sandals,http://www.myntra.com/Flats/Relax/Relax-Women-Brown-Sandals/172053/buy,Rs. 899,women-footwear-new-arrivals,Footwear,Relax,http://myntra.myntassets.com/images/style/properties/Relax-Women-Brown-Sandals_1b9e04607f42e4ffb610292acfafc793_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Relax/Relax-Women-Brown-Sandals/172053/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['4', '5', '5.5', '6.5', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair of sandals from Relax is ideal for everyday wear and is crafted with the latest design. We suggest you wear it with a short dress to lend an interesting look to your outfit while heading out for lunch.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown, open toed sandals with slip-on styling<br/>Synthetic upper with intricate cut-out detail on the forefoot strap<br/>Comfortable and cushioned footbed with branding at the heel, has perforations on the front<br/>Tough and textured rubber outsole</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic and rubber<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Relax Women Black Sandals,http://www.myntra.com/Flats/Relax/Relax-Women-Black-Sandals/172024/buy,Rs. 999,women-footwear-new-arrivals,Footwear,Relax,http://myntra.myntassets.com/images/style/properties/Relax-Women-Black-Sandals_c9fdb4c1475d8949cbeb6ae39fcd83c3_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Relax/Relax-Women-Black-Sandals/172024/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '5.5', '6.5', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair of sandals from Relax is ideal for everyday wear and is crafted with the latest design. We suggest you wear it with a short dress to lend an interesting look to your outfit while heading out for lunch.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black, open toed, sandals with slip-on styling<br/>Synthetic upper with perforations, cut-out details and metallic accents<br/>Comfortable and cushioned footbed with branding at the heel<br/>Thick midfoot with stitched details<br/>Tough and textured outsole</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
