None,GKIDZ Girls Purple Sweatshirt,http://www.myntra.com/sweatshirts/gkidz/gkidz-girls-purple-sweatshirt/218784/buy,Rs. 549,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/GKIDZ-Girls-Purple-Sweatshirt_7016c422bb966d80c205b65c5fe03505_images_1080_1440_mini.jpg,None,None,girls,http://www.myntra.com/sweatshirts/gkidz/gkidz-girls-purple-sweatshirt/218784/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '5-6Y', '7-8Y', '9-10Y', '2-3Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This cute looking sweatshirt will make your little girl look adorable and loved by all. With a combination of lively colour and super-soft fabric it will become her instant favourite.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Purple, knit sweatshirt, ribbed round neck, long sleeves with elasticated cuffs, sequin detail at the chest, has ribbed elasticated hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Machine wash</p></li></ul>,26:02:2014,None
None,United Colors of Benetton Girls Off-White Hooded Sweatshirt,http://www.myntra.com/sweatshirts/united-colors-of-benetton/united-colors-of-benetton-girls-off-white-hooded-s/232109/buy,Rs. 1,124,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/United-Colors-of-Benetton-Girls-Off-White-Hooded-Sweatshirt_99721e2146e70030edb3993d0a8bb897_images_1080_1440_mini.jpg,Rs. 1,499,None,girls,http://www.myntra.com/sweatshirts/united-colors-of-benetton/united-colors-of-benetton-girls-off-white-hooded-s/232109/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['7-8Y', '6-7Y', '8-9Y', '10-11Y', '11-12Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>In a classic hue, this sweatshirt from United Colors of Benetton will add an instant style boost. Make your little one wear it with a pair of jeans and canvas shoes for a trendy urban look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Off-white sweatshirt, knitted, attached hood with drawstring closure, long sleeves with ribbed cuffs, print detail at the front, embroidery detail on the left sleeve and ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>60% cotton, 40% polyester<br/>Machine wash</p></li></ul>,26:02:2014,None
None,Elle Kids Girls Peach Cardigan,http://www.myntra.com/sweaters/elle-kids/elle-kids-girls-peach-cardigan/217588/buy,Rs. 1,499,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Elle-Kids-Girls-Coral-Pink-Cardigan_ade3ad0badf29dcab95e20eac67b6f25_images_1080_1440_mini.jpg,None,None,girls,http://www.myntra.com/sweaters/elle-kids/elle-kids-girls-peach-cardigan/217588/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6-7Y', '7-8Y', '4-5Y', '8-9Y', '10-11Y', '2-3Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This cardigan from Elle Kids is an adorable addition to your little one's winter collection. Pair it with white leggings and super-cute sandals.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Peach cardigan with multi-colour knitted pattern, ribbed round neck, long sleeves with ribbed cuffs, buttoned placket at the front, ribbed hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Hand wash cold</p></li></ul>,26:02:2014,None
None,Nautica Girls Pink Sweater,http://www.myntra.com/sweaters/nautica/nautica-girls-pink-sweater/211995/buy,Rs. 1,400,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Nautica-Girls-Pink-Sweater_0563a5f6921d6011d61b953679ca1d05_images_1080_1440_mini.jpg,Rs. 2,799,None,girls,http://www.myntra.com/sweaters/nautica/nautica-girls-pink-sweater/211995/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['5-6Y', '6-7Y', '7-8Y', '1-2Y', '2-3Y', '10-12Y', '12-14Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted to keep your little princess fashionable during the cold, this sweater from Nautica in a classic hue, will add an instant style boost. Team it with a pair of jeans and canvas shoes for a trendy urban look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pink, knitted sweater, with navy blue and white accents, a ribbed mock collar with a loop and button closure, has striped and knitted detail, long sleeves with ribbed cuffs and embroidered branding on the left sleeve, brand label at side seam and ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>61% cotton, 39% acrylic<br/>Hand wash</p></li></ul>,26:02:2014,None
None,Elle Kids Girls Beige Shimmery Sweater,http://www.myntra.com/sweaters/elle-kids/elle-kids-girls-beige-shimmery-sweater/217583/buy,Rs. 1,299,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Elle-Kids-Girls-Beige-Shimmery-Sweater_b524a0da747be3cd10694996a6ac52aa_images_1080_1440_mini.jpg,None,None,girls,http://www.myntra.com/sweaters/elle-kids/elle-kids-girls-beige-shimmery-sweater/217583/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6-7Y', '7-8Y', '4-5Y', '8-9Y', '10-11Y', '2-3Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Glam up your tiny tot's casual outings with this shimmery sweater from Elle Kids. Pair it with dark blue jeans and ballerinas.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Shimmery beige sweater with knitted pattern, ribbed round neck, long sleeves with ribbed cuffs, two patch pockets at the front, ribbed hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Acrowool<br/>Dry clean or hand wash</p></li></ul>,26:02:2014,None
None,Nautica Girls Red Hooded Sweatshirt,http://www.myntra.com/sweatshirts/nautica/nautica-girls-red-hooded-sweatshirt/212001/buy,Rs. 1,749,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Nautica-Girls-Sweatshirts_f7ece2cc4fb380ff64da2bc68ba87266_images_1080_1440_mini.jpg,Rs. 2,499,None,girls,http://www.myntra.com/sweatshirts/nautica/nautica-girls-red-hooded-sweatshirt/212001/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['1-2Y', '5-6Y', '7-8Y', '2-3Y', '6-7Y', '10-12Y', '12-14Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Enjoy this season in top style and comfort with Nautica’s sweatshirt from their fall collection. Team this versatile red sweatshirt with a pair of shorts and low top sneakers for a trendy look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red sweatshirt, has attached hood with polka dot lining, long sleeves with ribbed cuffs, embroidered branding on the left sleeve, full zipped open front, embroidered branding at the left chest, insert pockets at front with button detailing, has ribbed hem, fleece lining</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Body: 74.3% cotton, 25.7% polyester<br/>Hood lining: 94.1% cotton, 5.9% elastane<br/>Machine wash cold</p></li></ul>,26:02:2014,None
None,United Colors of Benetton Girls Navy Sweater,http://www.myntra.com/sweaters/united-colors-of-benetton/united-colors-of-benetton-girls-navy-sweater/232098/buy,Rs. 974,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/United-Colors-of-Benetton-Girls-Sweaters_cc635b5b10f1cb00944f04d68be0c402_images_1080_1440_mini.JPG,Rs. 1,299,None,girls,http://www.myntra.com/sweaters/united-colors-of-benetton/united-colors-of-benetton-girls-navy-sweater/232098/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '6-7Y', '7-8Y', '11-12Y', '4-5Y', '8-9Y', '10-11Y', '1-2Y', '2-3Y', '0-1Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Let your little girl stay warm and cozy this winter with this sweater from United Colors of Benetton. Dress your little girl with cream leggings and bow-detailed ballerinas for a cute look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy blue sweater, knitted, has a ribbed round neck, button detail at the left shoulder, long sleeves with ribbed cuffs, cable knit pattern and embroidery branding at the front and ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% wool, 20% nylon<br/>Dry clean only</p></li></ul>,26:02:2014,None
None,United Colors of Benetton Girls Navy Sweater,http://www.myntra.com/sweaters/united-colors-of-benetton/united-colors-of-benetton-girls-navy-sweater/232086/buy,Rs. 1,274,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/United-Colors-of-Benetton-Girls-Navy-Sweater_f53e9128a40c522ee350ff62b8cec292_images_1080_1440_mini.jpg,Rs. 1,699,None,girls,http://www.myntra.com/sweaters/united-colors-of-benetton/united-colors-of-benetton-girls-navy-sweater/232086/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '6-7Y', '7-8Y', '11-12Y', '8-9Y', '10-11Y', '2-3Y', '0-1Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>In a classic hue, this sweater from United Colors of Benetton will add an instant style boost. Make your little ones wear it with a pair of neon coloured skirt and sandals for a trendy urban look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy blue sweater with a ribbed round neck, knitted patterns at the front and sleeve, secured by a press button placket at the front, ribbed at the cuffs and hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Machine wash cold</p></li></ul>,26:02:2014,None
None,United Colors of Benetton Girls Pink Sweater,http://www.myntra.com/sweaters/united-colors-of-benetton/united-colors-of-benetton-girls-pink-sweater/232097/buy,Rs. 974,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/United-Colors-of-Benetton-Girls-Sweaters_3987955bd434beb7951e726736104476_images_1080_1440_mini.jpg,Rs. 1,299,None,girls,http://www.myntra.com/sweaters/united-colors-of-benetton/united-colors-of-benetton-girls-pink-sweater/232097/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6-7Y', '7-8Y', '11-12Y', '8-9Y', '10-11Y', '1-2Y', '2-3Y', '0-1Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Let your little girl stay warm and cosy this winter with this sweater from United Colors of Benetton. Dress your little girl with cream leggings and bow-detailed ballerinas for a cute look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pink sweater, knitted, has a ribbed round neck, branding with studded detail at the front, long sleeves with ribbed cuffs, cable knit pattern at the front and a ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% lambs wool, 20% nylon<br/>Dry clean only</p></li></ul>,26:02:2014,None
None,Elle Kids Girls Pink Jacket,http://www.myntra.com/jackets/elle-kids/elle-kids-girls-pink-jacket/228564/buy,Rs. 1,899,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Elle-Kids-Girls-Pink-Jacket_a65aa5a1913fc3aaf172b832a68a1678_images_1080_1440_mini.JPG,None,None,girls,http://www.myntra.com/jackets/elle-kids/elle-kids-girls-pink-jacket/228564/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['2-3Y', '4-5Y', '6-7Y', '7-8Y', '8-9Y', '9-10Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>We adore this super smart jacket for girls by Elle Kids. Team it with jeans and casual shoes for a street-style inspired ensemble.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pink jacket, knit, round neck, long sleeves with lace detail at the cuffs, full zipped closure at the front slightly concealed with lace detail, two patch pockets with lace detail at the mouth</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% wool, 20% polyester<br/>Hand wash cold</p></li></ul>,26:02:2014,None
None,United Colors of Benetton Girls Black & White Cardigan,http://www.myntra.com/sweaters/united-colors-of-benetton/united-colors-of-benetton-girls-black-white-cardig/194705/buy,Rs. 1,399,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/United-Colors-of-Benetton-Girls-Sweaters_d93c1b8c09187911a2193b62efbb1600_images_1080_1440_mini.jpg,Rs. 1,999,None,girls,http://www.myntra.com/sweaters/united-colors-of-benetton/united-colors-of-benetton-girls-black-white-cardig/194705/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6-7Y', '7-8Y', '11-12Y', '8-9Y', '10-11Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This cutely designed crochetted cardigan with decorative buttons from United Colors of Benetton will keep your little girl warm and cozy, and will become her instant favourite. Team it with a pair of jeans or chinos and matching shoes for a smart look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black and white, striped cardigan, knit, round neck, has a buttoned placket down the front with two patch pockets near the hem, long sleeves with ribbed cuffs, has ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>70% acrylic, 30% wool<br/>Machine wash cold</p></li></ul>,26:02:2014,None
None,United Colors of Benetton Girls Yellow Sweater,http://www.myntra.com/sweaters/united-colors-of-benetton/united-colors-of-benetton-girls-yellow-sweater/232096/buy,Rs. 824,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/United-Colors-of-Benetton-Girls-Yellow-Pullover-Sweater_f8c86e69290afc80f150b064c8e2b3e1_images_1080_1440_mini.jpg,Rs. 1,099,None,girls,http://www.myntra.com/sweaters/united-colors-of-benetton/united-colors-of-benetton-girls-yellow-sweater/232096/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '6-7Y', '7-8Y', '11-12Y', '4-5Y', '8-9Y', '10-11Y', '1-2Y', '2-3Y', '0-1Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Let your little girl look stylish during the cold days in this smart sweater from United Colors of Benetton. Ensure that she teams this warm piece with a pair of jeans and sneakers for a smart look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Yellow sweater, knit, has a ribbed V neck with bow detail, long sleeves with ribbed cuffs, embroidered branding near hem, ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% viscose<br/>Hand wash cold</p></li></ul>,26:02:2014,None
None,United Colors of Benetton Girls Black Sweatshirt,http://www.myntra.com/sweatshirts/united-colors-of-benetton/united-colors-of-benetton-girls-black-sweatshirt/194719/buy,Rs. 909,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/United-Colors-of-Benetton-Girls-Black-Sweatshirt_26207885394683a1ab7a4d1e90360466_images_1080_1440_mini.jpg,Rs. 1,299,None,girls,http://www.myntra.com/sweatshirts/united-colors-of-benetton/united-colors-of-benetton-girls-black-sweatshirt/194719/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['1-2Y', '3-4Y', '7-8Y', '2-3Y', '4-5Y', '6-7Y', '8-9Y', '10-11Y', '11-12Y', '0-1Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This winter season, let your little one look fashionably versatile  with this fabulous sweatshirt from United Colors of Benetton. Team it  with a pair of jeans and canvas shoes for a neat look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black, knitted sweatshirt with studded branding at front, has a mock collar,  long sleeves with ribbed cuffs, kangaroo pockets at front and a ribbed  hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% cotton, 20% polyester<br/>Hand wash cold</p></li></ul>,26:02:2014,None
None,United Colors of Benetton Girls Yellow Jacket,http://www.myntra.com/sweatshirts/united-colors-of-benetton/united-colors-of-benetton-girls-yellow-jacket/194721/buy,Rs. 1,049,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/United-Colors-of-Benetton-Girls-Yellow-Jacket_ef1133955115228528087c1d3ed778cc_images_1080_1440_mini.jpg,Rs. 1,499,None,girls,http://www.myntra.com/sweatshirts/united-colors-of-benetton/united-colors-of-benetton-girls-yellow-jacket/194721/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['1-2Y', '3-4Y', '7-8Y', '2-3Y', '4-5Y', '6-7Y', '8-9Y', '10-11Y', '11-12Y', '0-1Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>We adore this super smart jacket for girls by United Colors of Benetton. Team it with jeans and casual shoes for a street-style inspired ensemble.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Yellow jacket with a hood, concealed full zipped closure at front, long sleeves with ribbed cuffs, printed detail at chest, kangaroo pockets at front and a ribbed hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>60% cotton, 40% polyester<br/>Machine wash delicate</p></li></ul>,26:02:2014,None
None,United Colors of Benetton Girls Blue Sweatshirt,http://www.myntra.com/sweatshirts/united-colors-of-benetton/united-colors-of-benetton-girls-blue-sweatshirt/194731/buy,Rs. 1,049,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/United-Colors-of-Benetton-Girls-Sweatshirts_bfa7fa494fde1ebc4c58ddc625aabc1d_images_1080_1440_mini.jpg,Rs. 1,499,None,girls,http://www.myntra.com/sweatshirts/united-colors-of-benetton/united-colors-of-benetton-girls-blue-sweatshirt/194731/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['1Y', '2Y', 'XS', 'XX', '0Y', 'EL', 'L', 'M', 'S', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Sweatshirts are an essential part of your winter wardrobe and UCB brings you just the right one. This piece will keep you warm while looking stylish all day long. Wear it with jeans and trek shoes while out on an adventurous weekend. </p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue sweatshirt, knit, attached hood with ribbed detailing at the opening, long sleeves with ribbed cuffs, full zipped closure at front, sequined branding at left chest, two kangaroo pockets with ribbed openings at front waist, ribbed hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% cotton, 20% polyester<br/>Machine wash gentle</p></li></ul>,26:02:2014,None
None,United Colors of Benetton Girls Pink Hooded Sweatshirt,http://www.myntra.com/sweatshirts/united-colors-of-benetton/united-colors-of-benetton-girls-pink-hooded-sweats/232108/buy,Rs. 1,124,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/United-Colors-of-Benetton-Girls-Sweatshirts_ab7459211862e9b03d3969918c2b72e6_images_1080_1440_mini.jpg,Rs. 1,499,None,girls,http://www.myntra.com/sweatshirts/united-colors-of-benetton/united-colors-of-benetton-girls-pink-hooded-sweats/232108/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['7-8Y', '6-7Y', '8-9Y', '10-11Y', '11-12Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>In a classic hue, this sweatshirt from United Colors of Benetton will add an instant style boost. Make your little one wear it with a pair of jeans and canvas shoes for a trendy urban look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pink sweatshirt, knitted, attached hood with drawstring closure, long sleeves with ribbed cuffs, print detail at the front, embroidery detail on the left sleeve and ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>60% cotton, 40% polyester<br/>Machine wash</p></li></ul>,26:02:2014,None
None,Elle Kids Girls Peach Cardigan,http://www.myntra.com/sweaters/elle-kids/elle-kids-girls-peach-cardigan/217588/buy,Rs. 1,499,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Elle-Kids-Girls-Coral-Pink-Cardigan_ade3ad0badf29dcab95e20eac67b6f25_images_1080_1440_mini.jpg,None,None,girls,http://www.myntra.com/sweaters/elle-kids/elle-kids-girls-peach-cardigan/217588/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6-7Y', '7-8Y', '4-5Y', '8-9Y', '10-11Y', '2-3Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This cardigan from Elle Kids is an adorable addition to your little one's winter collection. Pair it with white leggings and super-cute sandals.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Peach cardigan with multi-colour knitted pattern, ribbed round neck, long sleeves with ribbed cuffs, buttoned placket at the front, ribbed hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Hand wash cold</p></li></ul>,26:02:2014,None
None,United Colors of Benetton Girls Red Sweater,http://www.myntra.com/sweaters/united-colors-of-benetton/united-colors-of-benetton-girls-red-sweater/194713/buy,Rs. 909,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/United-Colors-of-Benetton-Girls-Red-Sweater_7a15499e14f434c284a2e025c09afe6e_images_1080_1440_mini.jpg,Rs. 1,299,None,girls,http://www.myntra.com/sweaters/united-colors-of-benetton/united-colors-of-benetton-girls-red-sweater/194713/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '6-7Y', '7-8Y', '11-12Y', '4-5Y', '8-9Y', '10-11Y', '2-3Y', '0-1Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>In a classic hue, this sweater from United Colors of Benetton will an  add instant style boost. Make your little one wear it with a pair of  neon coloured skirt and sandals for a trendy urban look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red knit sweater with cable knit design detail, studded branding at front, ribbed round neck, long sleeves with ribbed cuffs and a ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% wool, 20% nylon<br/>Dry clean</p></li></ul>,26:02:2014,None
None,Elle Kids Girls Purple Sweater,http://www.myntra.com/sweaters/elle-kids/elle-kids-girls-purple-sweater/217589/buy,Rs. 1,499,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Elle-Kids-Girls-Purple-Sweater_ccef42ba5427a22b2f685e29840ef9e8_images_1080_1440_mini.jpg,None,None,girls,http://www.myntra.com/sweaters/elle-kids/elle-kids-girls-purple-sweater/217589/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6-7Y', '7-8Y', '4-5Y', '8-9Y', '10-11Y', '2-3Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Let your little girl stay warm and cozy this winter with this sweater from Elle Kids. Wear it with cream leggings and bow-detailed ballerinas.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Purple sweater with knitted pattern, ribbed round neck, long sleeves with ribbed cuffs, buttoned closure at the back, ribbed hemline with front side shorter than the back</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% acrylic, 10% wool, 10% nylon<br/>Hand wash cold</p></li></ul>,26:02:2014,None
None,United Colors of Benetton Girls Navy Padded Sleeveless Jacket,http://www.myntra.com/jackets/united-colors-of-benetton/united-colors-of-benetton-girls-navy-padded-sleeve/232159/buy,Rs. 1,499,girls-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/United-Colors-of-Benetton-Girls-Jackets_6dc1fff91293cb57a69a447838876913_images_1080_1440_mini.jpg,Rs. 1,999,None,girls,http://www.myntra.com/jackets/united-colors-of-benetton/united-colors-of-benetton-girls-navy-padded-sleeve/232159/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['1-2Y', '2-3Y', '3-4Y', '4-5Y', '6-7Y', '7-8Y', '8-9Y', '10-11Y', '0-1Y', '11-12Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>We adore this super-smart jacket by UCB, which comes in a flattering fit and attractive hue. Team it with a pair of jeans and booties for a trendy winter look for your little one.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy blue padded jacket with stitch detail, mock collar, embroidered branding at left chest, full zipped front, sleeveless, two insert pockets at front waist, elasticated at hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 100% nylon<br/>Lining: 100% polyester<br/>Machine wash gentle</p></li></ul>,26:02:2014,None
