None,Bindhani Gold Toned Ring,http://www.myntra.com/Ring/Bindhani/Bindhani-Gold-Toned-Ring/150091/buy,Rs. 599,fashion-sale,Extra 32% Off on 30,Bindhani,http://myntra.myntassets.com/images/style/properties/Bindhani-Gold-Toned-Ring_e99c3415cb818fcf0b211fedb1defc0b_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Ring/Bindhani/Bindhani-Gold-Toned-Ring/150091/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A traditional accessory, that can function as a statement piece, this  ring from Bindhani is surely a piece to own. Slip it on with an embellished saree at  a festive occasion.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned, circular ring with multi-coloured stone and bead embellishments<br/>Has an adjustable gold toned band</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Copper, kundan, Jaipuri polki, CZ and semi precious stones<br/>Wipe with a cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Minimum diameter: 1.8 cm</p></li></ul>,26:02:2014,None
None,Bindhani Red & Green Crystal Bead Earrings,http://www.myntra.com/Earrings/Bindhani/Bindhani-Red-&-Green-Crystal-Bead-Earrings/91538/buy,Rs. 285,fashion-sale,Extra 32% Off on 30,Bindhani,http://myntra.myntassets.com/images/style/properties/Bindhani-Red-&-Green-Crystal-Bead-Earrings_15b1d62119d89c02abb49382c0dd575e_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Bindhani/Bindhani-Red-&-Green-Crystal-Bead-Earrings/91538/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>With their crystal encrusted detail and dangling bead, these drop earrings by Bindhani are great to pair with ethnic ensembles. A scooped neck anarkali suit would be a perfect match  to give you an elegant and stylish look this festive season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Abstract shaped crystal encrusted earrings in a gold toned base, pearly beads encrusted along the outer periphery, dangling tear drop bead, post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal and crystal<br/> Wipe with a clean, dry cloth to remove dust and dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 6.5 cm</p></li></ul>,26:02:2014,None
None,Bindhani Silver Toned Jewellery Set,http://www.myntra.com/Jewellery-Set/Bindhani/Bindhani-Silver-Toned-Jewellery-Set/179259/buy,Rs. 749,fashion-sale,Extra 32% Off on 30,Bindhani,http://myntra.myntassets.com/images/style/properties/Bindhani-Silver-Toned-Jewellery-Set_9cc80de0cae336e74be3cca5bf724ce5_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Jewellery-Set/Bindhani/Bindhani-Silver-Toned-Jewellery-Set/179259/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Jazz up your ethnic wear with these stone studded pendant and earrings from Bindhani. Add on some matching bangles when you dress up for a festive occasion or a wedding.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned jewellery set containing a necklace and a pair of earrings<br/>Silver toned, stone studded, crescent shaped necklace, secured with a S-hook closure<br/>Silver toned, ring shaped drop earrings, has faceted stones and bead details, secured with a push back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal, octane stone<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of necklace: 40 cms<br/>Length of earring: 1.2 cms</p></li></ul>,26:02:2014,None
None,Bindhani Gold toned Finger Ring,http://www.myntra.com/Ring/Bindhani/Bindhani-Gold-toned-Finger-Ring/150092/buy,Rs. 599,fashion-sale,Extra 32% Off on 30,Bindhani,http://myntra.myntassets.com/images/style/properties/Bindhani-Women-Ring_641fa70d6504539b8e7088c7015e5240_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Ring/Bindhani/Bindhani-Gold-toned-Finger-Ring/150092/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A traditional accessory, that can function as a statement piece, this  ring from Bindhani is truly gorgeous. Make your hands look glamorous at  evening occasions with this ring.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned, peacock shaped ring with white stones and black, green and red accents<br/>Has an adjustable gold toned band</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Copper, kundan, jaipuri polki, CZ and semi precious stones<br/>Wipe with a clean, dry cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Diameter: 2 cm (adjustable)</p></li></ul>,26:02:2014,None
None,Bindhani Gold Plated Bangle,http://www.myntra.com/Bangle/Bindhani/Bindhani-Gold-Plated-Bangle/210826/buy,Rs. 449,fashion-sale,Extra 32% Off on 30,Bindhani,http://myntra.myntassets.com/images/style/properties/Bindhani-Women-Bangle_e5c160907746a6cd6ea885c3a5e9c4d0_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Bangle/Bindhani/Bindhani-Gold-Plated-Bangle/210826/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['2.4', '2.6', '2.8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Bindhani is known for its stand out designs, and this exquisitely crafted set of bangles is a dazzling example of its work. This ornate, vintage-inspired style is sure to make a treasured investment piece.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pair of gold toned bangles, intricately designed with octane stones in white</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal alloy and octane<br/>Wipe with clean, dry cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Diameter: 2.4 cm</p></li></ul>,26:02:2014,None
None,Bindhani Gold Plated Stone Studded Earring & Pendant Set,http://www.myntra.com/Earring-&-Pendant-Set/Bindhani/Bindhani-Gold-Plated-Stone-Studded-Earring-&-Pendant-Set/229030/buy,Rs. 1,999,fashion-sale,Extra 32% Off on 30,Bindhani,http://myntra.myntassets.com/images/style/properties/Bindhani-Gold-Plated-Stone-Studded-Earring-&-Pendant-Set_253291e7dd0308255a21354749c5dbba_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earring-&-Pendant-Set/Bindhani/Bindhani-Gold-Plated-Stone-Studded-Earring-&-Pendant-Set/229030/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Dazzle in these stone studded earring and pendant set from Bindhani. Wear them with an evening gown for a classy look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold plated earring and pendant set<br/>Tear drop shaped pair of stone-studded earrings with blue detailing, post and back closure<br/>Matching tear drop shaped stone-studded pendant with blue detailing, a loop at the top to pass the chain through</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Gold plated copper, CZ stones<br/>Avoid contact with chemicals such as perfumes, sprays and water<br/>Wipe jewellery with a soft cotton cloth</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of earrings: 2 cm<br/>Length of pendant: 4 cm</p></li></ul>,26:02:2014,None
None,Bindhani Gold Toned Jewellery Set,http://www.myntra.com/Jewellery-Set/Bindhani/Bindhani-Gold-Toned-Jewellery-Set/210803/buy,Rs. 1,599,fashion-sale,Extra 32% Off on 30,Bindhani,http://myntra.myntassets.com/images/style/properties/Bindhani-Women-Jewellery-Set_43aa0f2109a625070ffaf6b1ef3254da_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Jewellery-Set/Bindhani/Bindhani-Gold-Toned-Jewellery-Set/210803/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Adorn yourself with this glittering jewellery set from Bindhani and you'll be the centre of attention. Intricately designed with stunning detailing in semi-precious stones, you can team this set with a gorgeous Anarkali for an ethnic appeal.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>This jewellery set consists of a necklace, a pair of earrings and a maang tikka (forehead ornament)<br/> Gold toned crescent shaped necklace, studded with Austrian diamonds, Jaipuri polki and kundan, a central dangler and a drawstring closure<br/> Matching drop earrings embellished with Austrian diamonds, Jaipuri polki and kundan, a central dangler, and is secured with a post and back closure<br/>Gold toned, tear drop shaped maang tikka studded with Austrian diamonds, Jaipuri polki and kundan, a central dangler, and a hook at the other end.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Copper, Kundan and Austrian diamonds<br/>Wipe with a clean, dry cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Maximum length of necklace: 66 cm<br/>Length of centrepiece: 7  cm<br/>Length of earring: 8 cm<br/>Length of maang tikka: 12 cm</p></li></ul>,26:02:2014,None
None,Bindhani Gold Plated Studded Earring & Pendant Set,http://www.myntra.com/Earring-&-Pendant-Set/Bindhani/Bindhani-Gold-Plated-Studded-Earring-&-Pendant-Set/229017/buy,Rs. 2,399,fashion-sale,Extra 32% Off on 30,Bindhani,http://myntra.myntassets.com/images/style/properties/Bindhani-Women-Earrings_cdf80f5e4d6682f6a44a0ca97e8615be_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earring-&-Pendant-Set/Bindhani/Bindhani-Gold-Plated-Studded-Earring-&-Pendant-Set/229017/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This exquisite gold plated earring &amp; pendant set from Bindhani is the epitome of feminine elegance. Its intricate design detail adds to its lady-like appeal. Wear this pretty set with flirty pastels for an ethnic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of gold plated earring and pendant<br/>Gold plated, intricate floral design pendant embellished with CZ stones<br/>Gold plated, intricate floral design earrings embellished with CZ stones, secured with a post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Gold plated copper, CZ stones<br/>Avoid contact with chemicals such as perfumes, sprays and water<br/>Wipe jewellery with a soft cotton cloth</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of earrings: 2.7 cm<br/>Length of pendant: 4.5 cm</p></li></ul>,26:02:2014,None
None,Bindhani Gold Plated Two Toned Earring & Pendant Set,http://www.myntra.com/Earring-&-Pendant-Set/Bindhani/Bindhani-Gold-Plated-Two-Toned-Earring-&-Pendant-Set/204394/buy,Rs. 1,249,fashion-sale,Extra 32% Off on 30,Bindhani,http://myntra.myntassets.com/images/style/properties/Bindhani-Gold-Plated-Two-Toned-Earring-&-Pendant-Set_f6589994714f5f5154f69ebf03cbafd0_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earring-&-Pendant-Set/Bindhani/Bindhani-Gold-Plated-Two-Toned-Earring-&-Pendant-Set/204394/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This exquisite gold plated earring &amp;  pendant set from Bindhani is the epitome of feminine elegance. Iys intricate design detail adds to its ladylike appeal. Wear this pretty set with flirty pastels for an ethnic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold plated earring and pendant set,Drop shaped pair of earrings with stone studded detailing and a post and back closure,Drop shaped pendant with stone studded detailing, a loop at the top to pass the chain through</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Pewter with 24 KT gold plating and CZ stones<br/>Avoid contact with chemicals such as perfumes, sprays and water<br/>Wipe jewellery with a soft cotton cloth</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of earrings: 2 cm <br/>Width of earrings: 1 cm<br/>Length of pendant: 6 cm<br/>Width of pendant: 2 cm</p></li></ul>,26:02:2014,None
None,Bindhani Gold Plated Bangles,http://www.myntra.com/Bangle/Bindhani/Bindhani-Gold-Plated-Bangles/210832/buy,Rs. 449,fashion-sale,Extra 32% Off on 30,Bindhani,http://myntra.myntassets.com/images/style/properties/Bindhani-Women-Bangle_9573a61bb9fb201d118322dee5a765bb_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Bangle/Bindhani/Bindhani-Gold-Plated-Bangles/210832/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['2.4', '2.6', '2.8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Bindhani is known for its stand out designs, and this exquisitely crafted set of bangles is a dazzling example of its work. This ornate, vintage-inspired style is sure to make a treasured investment piece.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pair gold toned bangles, intricately designed with octane stones in multi color</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal alloy and octane<br/>Wipe with clean, dry cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Diameter: 2.4 cm</p></li></ul>,26:02:2014,None
None,Bindhani Silver Toned Jewellery Set,http://www.myntra.com/Jewellery-Set/Bindhani/Bindhani-Silver-Toned-Jewellery-Set/151880/buy,Rs. 849,fashion-sale,Extra 32% Off on 30,Bindhani,http://myntra.myntassets.com/images/style/properties/Bindhani-Silver-Toned-Jewellery-Set_98ff13d418903d90db35b77ef722b9ae_images_1080_1440.jpg,None,None,fashion,http://www.myntra.com/Jewellery-Set/Bindhani/Bindhani-Silver-Toned-Jewellery-Set/151880/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add glam and style to your evening wear with this elegant jewellery set from Bindhani. We recommend you wear it with a monochromatic evening dress and tie your hair back to bring it into focus.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Style Description</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Rhodium plated metal, stones<br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of necklace: 43.5 cm<br/>Length of centre piece: 3.6 cm<br/>Length of earrings: 3.6 cm</p></li></ul>,26:02:2014,None
